¥éËDomain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2011,tonnes,51509.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1994,tonnes,20000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1995,tonnes,10000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1996,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1999,tonnes,12979.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2000,tonnes,16129.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2001,tonnes,2.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2002,tonnes,0.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2003,tonnes,300.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2004,tonnes,390.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2005,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2006,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2007,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2008,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2009,tonnes,520.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2010,tonnes,2.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2011,tonnes,0.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1993,tonnes,950.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1995,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1996,tonnes,2.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,1999,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2000,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2001,tonnes,3.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2002,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2003,tonnes,17.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2004,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2005,tonnes,10.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2006,tonnes,45.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2007,tonnes,32.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2008,tonnes,16.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2009,tonnes,5.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2010,tonnes,12.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,75,Oats,2011,tonnes,20.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1995,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1996,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,1999,tonnes,141.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2000,tonnes,0.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2001,tonnes,0.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2002,tonnes,0.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2003,tonnes,35.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2004,tonnes,25.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2005,tonnes,19.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2006,tonnes,18.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2007,tonnes,88.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2008,tonnes,29.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2009,tonnes,20.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2010,tonnes,207.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,79,Millet,2011,tonnes,265.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1995,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1996,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,1999,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2000,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2001,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2002,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2003,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2004,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2005,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2006,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2007,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2008,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2009,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2010,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,83,Sorghum,2011,tonnes,5.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1995,tonnes,236.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1996,tonnes,409.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1997,tonnes,478.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1998,tonnes,50.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,1999,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2000,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2001,tonnes,0.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2002,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2003,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2004,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2005,tonnes,5.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2006,tonnes,17.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2007,tonnes,11.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2008,tonnes,41.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2009,tonnes,72.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2010,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,89,Buckwheat,2011,tonnes,0.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1995,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1996,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,1999,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2000,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2001,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2002,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2003,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2004,tonnes,17.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2005,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2006,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2007,tonnes,5801.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2008,tonnes,0.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2009,tonnes,0.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2010,tonnes,0.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,97,Triticale,2011,tonnes,0.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1992,tonnes,37000.00,F,FAO estimate
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1993,tonnes,1000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1994,tonnes,120.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1995,tonnes,27.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1996,tonnes,1362.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1997,tonnes,874.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1998,tonnes,100.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,1999,tonnes,438.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2000,tonnes,390.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2001,tonnes,2290.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2002,tonnes,1918.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2003,tonnes,2853.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2004,tonnes,1553.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2005,tonnes,915.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2006,tonnes,1705.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2007,tonnes,5794.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2008,tonnes,4268.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2009,tonnes,801.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,116,Potatoes,2010,tonnes,1559.00,,Official data
